Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vn58;vn;ВН-58;ТП-7 ввод от Р-57 ЮКЭС (Птицефабрика);false;11;0;0;1;0;1;true;ВН-58 Включен;true;ВН-58 Выключен;1;;0;0;0;0;0;3
vn59;vn;ВН-59;ТП-7 ввод от Р-52 ЮКЭС (Птицефабрика);false;11;0;0;1;0;1;true;ВН-59 Включен;true;ВН-59 Выключен;1;;0;0;0;0;0;3
vn60;vn;ВН-60;ТП-37 ввод с Л-18П-3 со стороны ТП-123 (д.Верховье) (ЗН);false;11;0;0;1;0;1;true;ВН-60 Включен;true;ВН-60 Выключен;1;;0;0;0;0;0;3
vn61;vn;ВН-61;ТП-37 вывод в сторону ВС-27, ТП-28 (д.Верховье) (ЗН);false;11;0;0;1;0;1;true;ВН-61 Включен;true;ВН-61 Выключен;1;;0;0;0;0;0;3
vn62;vn;ВН-62;ТП-111 ввод с Л-18П-9 от П/ст 18П (п.Чална);false;11;0;0;1;0;1;true;ВН-62 Включен;true;ВН-62 Выключен;1;;0;0;0;0;0;3
vn63;vn;ВН-63;ТП-111 вывод в сторону ТП-126 (п.Чална);false;11;0;0;1;0;1;true;ВН-63 Включен;true;ВН-63 Выключен;1;;0;0;0;0;0;3
vn64;vn;ВН-64;ТП-134 ввод с Л-18П-2 от ТП-195;false;11;0;0;1;0;1;true;ВН-64 Включен;true;ВН-64 Выключен;1;;0;0;0;0;0;3
vn65;vn;ВН-65;ТП-133 вывод на Л-18П-9 к ТП-135;false;11;0;0;1;0;1;true;ВН-65 Включен;true;ВН-65 Выключен;0;;0;0;0;0;0;3
vn66;vn;ВН-66;ТП-127 ввод с Л-18П-9 от ТП-126  (п.Чална);false;11;0;0;1;0;1;true;ВН-66 Включен;true;ВН-66 Выключен;1;;0;0;0;0;0;3
vn67;vn;ВН-67;ТП-127 вывод на Л-18П-9 к ТП-138 и ТП-129 (п.Чална);false;11;0;0;1;0;1;true;ВН-67 Включен;true;ВН-67 Выключен;1;;0;0;0;0;0;3
vn68;vn;ВН-68;ТП-127 вывод на Л-18П-9 резерв (п.Чална);false;11;0;0;1;0;1;true;ВН-68 Включен;true;ВН-68 Выключен;0;;0;0;0;0;0;3
vn69;vn;ВН-69;ТП-100 вывод на ТП-74 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-69 Включен;true;ВН-69 Выключен;1;;0;0;0;0;0;3
vn70;vn;ВН-70;ТП-100 ввод с ВС-29 Л-82-3 (п.Ладва) (ЗН);false;11;0;0;1;0;1;true;ВН-70 Включен;true;ВН-70 Выключен;1;;0;0;0;0;0;3
