Name;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;Val;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv515_3sh;vv;ПС515 В3;ПС515 В3;false;11;0;0;1;0;1;true;ПС515 В3 Зашунтирован;true;ПС515 В3 Не зашунтирован;0;;0;0;0;0;0;3
vv515_4;vv;ПС515 В4;ПС515 В4;false;11;0;0;1;0;1;true;ПС515 В4 Включен;true;ПС515 В4 Выключен;1;;0;0;0;0;0;3
vv515_4gr;vv;ПС515 В4;ПС515 В4;false;11;0;0;1;0;1;true;ПС515 В4 Заземлен;true;ПС515 В4 Не заземлен;0;;0;0;0;0;0;3
vv515_4sh;vv;ПС515 В4;ПС515 В4;false;11;0;0;1;0;1;true;ПС515 В4 Зашунтирован;true;ПС515 В4 Не зашунтирован;0;;0;0;0;0;0;3
vv515_5;vv;ПС515 В5;ПС515 В5;false;11;0;0;1;0;1;true;ПС515 В5 Включен;true;ПС515 В5 Выключен;1;;0;0;0;0;0;3
vv515_5gr;vv;ПС515 В5;ПС515 В5;false;11;0;0;1;0;1;true;ПС515 В5 Заземлен;true;ПС515 В5 Не заземлен;0;;0;0;0;0;0;3
vv515_5sh;vv;ПС515 В5;ПС515 В5;false;11;0;0;1;0;1;true;ПС515 В5 Зашунтирован;true;ПС515 В5 Не зашунтирован;0;;0;0;0;0;0;3
vv515_8;vv;ПС515 В8;ПС515 В8;false;11;0;0;1;0;1;true;ПС515 В8 Включен;true;ПС515 В8 Выключен;1;;0;0;0;0;0;3
vv515_8gr;vv;ПС515 В8;ПС515 В8;false;11;0;0;1;0;1;true;ПС515 В8 Заземлен;true;ПС515 В8 Не заземлен;0;;0;0;0;0;0;3
vv515_8sh;vv;ПС515 В8;ПС515 В8;false;11;0;0;1;0;1;true;ПС515 В8 Зашунтирован;true;ПС515 В8 Не зашунтирован;0;;0;0;0;0;0;3
vv515_19;vv;ПС515 В19;ПС515 В19;false;11;0;0;1;0;1;true;ПС515 В19 Включен;true;ПС515 В19 Выключен;1;;0;0;0;0;0;3
vv515_19gr;vv;ПС515 В19;ПС515 В19;false;11;0;0;1;0;1;true;ПС515 В19 Заземлен;true;ПС515 В19 Не заземлен;0;;0;0;0;0;0;3
vv515_19sh;vv;ПС515 В19;ПС515 В19;false;11;0;0;1;0;1;true;ПС515 В19 Зашунтирован;true;ПС515 В19 Не зашунтирован;0;;0;0;0;0;0;3
vv515_18;vv;ПС515 В18;ПС515 В18;false;11;0;0;1;0;1;true;ПС515 В18 Включен;true;ПС515 В18 Выключен;1;;0;0;0;0;0;3
vv515_18gr;vv;ПС515 В18;ПС515 В18;false;11;0;0;1;0;1;true;ПС515 В18 Заземлен;true;ПС515 В18 Не заземлен;0;;0;0;0;0;0;3
vv515_18sh;vv;ПС515 В18;ПС515 В18;false;11;0;0;1;0;1;true;ПС515 В18 Зашунтирован;true;ПС515 В18 Не зашунтирован;0;;0;0;0;0;0;3
vv515_17;vv;ПС515 В17;ПС515 В17;false;11;0;0;1;0;1;true;ПС515 В17 Включен;true;ПС515 В17 Выключен;1;;0;0;0;0;0;3
vv515_17gr;vv;ПС515 В17;ПС515 В17;false;11;0;0;1;0;1;true;ПС515 В17 Заземлен;true;ПС515 В17 Не заземлен;0;;0;0;0;0;0;3
vv515_17sh;vv;ПС515 В17;ПС515 В17;false;11;0;0;1;0;1;true;ПС515 В17 Зашунтирован;true;ПС515 В17 Не зашунтирован;0;;0;0;0;0;0;3
vv515_14;vv;ПС515 В14;ПС515 В14;false;11;0;0;1;0;1;true;ПС515 В14 Включен;true;ПС515 В14 Выключен;1;;0;0;0;0;0;3
vv515_14gr;vv;ПС515 В14;ПС515 В14;false;11;0;0;1;0;1;true;ПС515 В14 Заземлен;true;ПС515 В14 Не заземлен;0;;0;0;0;0;0;3
vv515_14sh;vv;ПС515 В14;ПС515 В14;false;11;0;0;1;0;1;true;ПС515 В14 Зашунтирован;true;ПС515 В14 Не зашунтирован;0;;0;0;0;0;0;3
vv500_3;vv;ПС500 В3;ПС500 В3;false;11;0;0;1;0;1;true;ПС500 В3 Включен;true;ПС500 В3 Выключен;1;;0;0;0;0;0;3
vv500_3gr;vv;ПС500 В3;ПС500 В3;false;11;0;0;1;0;1;true;ПС500 В3 Заземлен;true;ПС500 В3 Не заземлен;0;;0;0;0;0;0;3
vv500_3sh;vv;ПС500 В3;ПС500 В3;false;11;0;0;1;0;1;true;ПС500 В3 Зашунтирован;true;ПС500 В3 Не зашунтирован;0;;0;0;0;0;0;3
vv500_4;vv;ПС500 В4;ПС500 В4;false;11;0;0;1;0;1;true;ПС500 В4 Включен;true;ПС500 В4 Выключен;1;;0;0;0;0;0;3
vv500_4gr;vv;ПС500 В4;ПС500 В4;false;11;0;0;1;0;1;true;ПС500 В4 Заземлен;true;ПС500 В4 Не заземлен;0;;0;0;0;0;0;3
