Name;;;Group;Item;Comment;Logged;Type;LogDB;MinRaw;MaxRaw;MinEu;MaxEu;OnMsged;OnMsg;offMsged;OffMsg;;AlarmMsg;AlarmLevel;AlarmCase;AlarmConst;DeadBaund;EU;RW
vv52_5;;;vv;ПС52п В5;ПС52п В5 Мелиоративный;true;11;0;0;1;0;1;true;ПС52п В5 Включен;true;ПС52п В5 Выключен;;;0;0;0;;0;0
vv52_13;;;vv;ПС52п В13;ПС52п В13 Мелиоративный;true;11;0;0;1;0;1;true;ПС52п В13 Включен;true;ПС52п В13 Выключен;;;0;0;0;;0;0
vv52_2;;;vv;ПС52п В2;ПС52п В2 Мелиоративный;true;11;0;0;1;0;1;true;ПС52п В2 Включен;true;ПС52п В2 Выключен;;;0;0;0;;0;0
vv52_12;;;vv;ПС52п В12;ПС52п В12 Мелиоративный;true;11;0;0;1;0;1;true;ПС52п В12 Включен;true;ПС52п В12 Выключен;;;0;0;0;;0;0
vv78_2;;;vv;ПС78 В2;ПС78 В2 г.Медвежегорск;true;11;0;0;1;0;1;true;ПС78 В2 Включен;true;ПС78 В2 Выключен;;;0;0;0;;0;0
vv82_3;;;vv;ПС82 В3;ПС82 В3 Ладва-Ветка (ЭЧ 9);true;11;0;0;1;0;1;true;ПС82 В3 Включен;true;ПС82 В3 Выключен;;;0;0;0;;0;0
vv82_4;;;vv;ПС82 В4;ПС82 В4 Ладва-Ветка (ЭЧ 9);true;11;0;0;1;0;1;true;ПС82 В4 Включен;true;ПС82 В4 Выключен;;;0;0;0;;0;0
vv82_11;;;vv;ПС82 В11;ПС82 В11 Ладва-Ветка (ЭЧ 9);true;11;0;0;1;0;1;true;ПС82 В11 Включен;true;ПС82 В11 Выключен;;;0;0;0;;0;0
vv82_10;;;vv;ПС82 В10;ПС82 В10 Ладва-Ветка (ЭЧ 9);true;11;0;0;1;0;1;true;ПС82 В10 Включен;true;ПС82 В10 Выключен;;;0;0;0;;0;0
vv71_4_6;;;vv;ПС71 В4.6;ПС71 В4.6 ;true;11;0;0;1;0;1;true;ПС71 В4.6 Включен;true;ПС71 В4.6 Выключен;;;0;0;0;;0;0
vv71_3_6;;;vv;ПС71 В3.6;ПС71 В3.6 ;true;11;0;0;1;0;1;true;ПС71 В3.6 Включен;true;ПС71 В3.6 Выключен;;;0;0;0;;0;0
vv71_3_4;;;vv;ПС71 В3.4;ПС71 В3.4 ;true;11;0;0;1;0;1;true;ПС71 В3.4 Включен;true;ПС71 В3.4 Выключен;;;0;0;0;;0;0
